タイトル,bSP,BSP,DSP,ESP,CSP,BDP,DDP,EDP,CDP
ヒマワリ,3,4,7,11,-,4,7,13,-
向日葵サンセット,3,5,10,13,-,5,11,13,-
ビューティフル レシート,4,8,10,13,-,7,10,13,-
フー・フローツ,3,6,9,12,-,6,9,13,-
風鈴花火,2,5,8,10,-,5,8,10,-
不沈艦CANDY,2,6,9,14,-,5,8,14,-
無頼ック自己ライザー,1,4,8,13,-,5,9,13,-
プレインエイジア -PHQ remix-,5,7,10,13,-,7,10,13,-
ベィスドロップ・フリークス,3,7,10,13,-,7,10,13,-
ベビーステップ,4,7,9,12,-,7,9,12,-
放課後ストライド,3,5,10,15,-,5,11,15,-
星屑のキロク,3,6,9,11,-,6,10,12,-
ホメ猫☆センセーション,4,6,10,13,-,6,10,13,-
マインド・ゲーム,3,7,10,14,-,7,10,15,-
魔法のたまご ～心菜 ELECTRO POP edition～,3,4,8,11,-,6,8,11,-
魔理沙は大変なものを盗んでいきました,3,6,9,12,-,6,10,12,-
回レ！雪月花,2,5,8,11,13,3,7,12,13
三毛猫ロック,4,5,8,11,-,5,9,13,-
ミライプリズム,2,4,7,10,-,4,7,11,-
夢幻ノ光,4,4,8,11,-,4,8,11,-
冥,3,7,11,16,18,7,12,15,18
めうめうぺったんたん！！,3,6,9,12,16,6,9,12,15
滅亡天使 † にこきゅっぴん,4,6,9,12,-,6,9,12,-
妄想税,2,5,9,11,-,5,9,12,-
野球の遊び方　そしてその歴史　～決定版～,3,6,9,14,-,6,10,14,-
ヤマトなでなで♡かぐや姫,2,6,8,11,14,5,8,11,14
ようこそジャパリパークへ,3,6,10,14,12,6,10,14,13
ライアーダンス,4,6,9,13,-,7,9,13,-
ラキラキ,2,7,10,13,-,7,11,13,-
ラクガキスト,4,7,10,13,16,7,10,13,16
繚乱ヒットチャート,2,5,8,13,-,5,8,13,-
凛として咲く花の如く,3,6,8,10,-,5,7,11,-
凛として咲く花の如く ～ひなビタ♪ edition～,3,5,8,11,-,6,8,11,-
輪廻転生,3,7,11,13,16,7,11,13,16
ルミナスデイズ,2,5,8,12,-,5,8,11,-
恋愛観測,3,7,10,12,-,7,10,12,-
恋閃繚乱,2,6,8,11,15,6,8,11,15
ロールプレイングゲーム,2,5,10,14,-,5,10,14,-
六兆年と一夜物語,4,5,9,12,16,6,9,12,16
炉心融解,2,6,10,12,-,6,10,12,-
ロストワンの号哭,3,6,10,12,15,6,10,13,15
ロンロンへ　ライライライ！,3,6,10,12,-,6,10,12,-
海神,3,8,12,16,-,7,12,16,-
.59,3,5,8,11,-,5,8,10,-
1998,3,4,6,9,-,5,6,9,-
30 Lives (Up-Up-Down-Dance Mix),2,4,7,8,-,3,6,8,-
321STARS,4,5,9,11,-,5,8,11,-
39,4,6,8,12,-,6,9,13,-
50th Memorial Songs -二人の時 ～under the cherry blossoms～-,3,7,9,12,-,7,9,12,-
50th Memorial Songs -Beginning Story-,2,5,10,14,-,5,10,14,-
50th Memorial Songs -Flagship medley-,3,7,9,12,-,8,10,13,-
50th Memorial Songs -The BEMANI History-,2,5,9,13,-,5,9,13,-
8000000,4,7,10,14,-,7,11,14,-
888,3,6,13,14,18,7,12,15,18
IX,5,11,14,17,18,10,14,17,18
A,4,5,8,11,12,5,7,11,13
A Brighter Day,2,5,7,9,12,5,7,10,12
A Geisha's Dream,2,6,9,11,-,7,9,11,-
A Stupid Barber,3,4,8,9,-,4,8,9,-
A thing called LOVE,3,4,7,10,-,5,6,11,-
AA,3,5,9,13,-,5,10,13,-
ABSOLUTE,3,4,8,11,-,4,7,11,-
Abyss,3,4,7,10,-,5,8,11,-
ACE FOR ACES,4,7,13,15,18,7,13,15,18
Across the nightmare,7,8,10,12,13,8,11,13,13
ACROSS WORLD,2,4,8,12,14,4,8,12,14
Adularia,3,6,10,14,-,6,9,13,-
ÆTHER,6,9,14,17,-,10,14,17,-
AFRONOVA,5,7,9,13,-,8,9,13,-
AFRONOVA(X-Special),-,-,-,-,13,-,-,-,14
AFRONOVA(FROM NONSTOP MEGAMIX),-,-,-,-,10,-,-,-,10
AFRONOVA PRIMEVAL,4,6,8,12,-,7,9,13,-
AFTER THE GAME OF LOVE,1,2,6,8,-,5,6,8,-
aftershock!!,3,5,9,13,-,5,9,13,-
Ah La La La,1,5,7,12,-,5,7,11,-
air,3,5,7,10,-,5,7,11,-
Air Heroes,3,9,11,15,17,9,11,15,17
ALGORITHM,5,7,11,13,-,7,10,13,-
ALL MY HEART -この恋に、わたしの全てを賭ける-,3,5,9,13,-,5,9,13,-
All My Love,2,5,8,10,-,5,9,11,-
AM-3P,3,7,8,11,-,8,9,10,-
"AM-3P (""CHAOS"" Special)",-,-,-,-,14,-,-,-,13
AM-3P -303 BASS MIX-,4,4,9,10,-,5,8,10,-
